,morality,leadership,caring,knowledgable,intelligent,honest,angry,hopeful,afraid,proud,voting_intention
1509,1.0,1.0,1.0,4.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
1512,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0
1515,3.0,3.0,1.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
1517,4.0,5.0,4.0,5.0,4.0,3.0,-1.0,2.0,-1.0,-1.0,1.0
1518,3.0,3.0,1.0,3.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1520,2.0,1.0,1.0,1.0,2.0,1.0,3.0,-1.0,-1.0,-1.0,1.0
1521,2.0,1.0,1.0,1.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1523,4.0,3.0,2.0,3.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0
1525,3.0,3.0,3.0,3.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1526,4.0,3.0,-8.0,2.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1527,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1529,5.0,3.0,3.0,2.0,3.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
1530,3.0,3.0,3.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1533,3.0,1.0,1.0,2.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1534,1.0,1.0,1.0,3.0,3.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1535,2.0,2.0,1.0,3.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1536,1.0,1.0,1.0,3.0,4.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1537,1.0,3.0,1.0,1.0,5.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1538,3.0,1.0,3.0,1.0,3.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
1539,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1540,5.0,5.0,4.0,5.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1541,2.0,3.0,2.0,3.0,3.0,1.0,4.0,-1.0,2.0,-1.0,1.0
1542,5.0,4.0,4.0,5.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1543,1.0,1.0,1.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1545,3.0,3.0,3.0,2.0,3.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
1547,5.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
1548,3.0,2.0,1.0,1.0,3.0,2.0,-1.0,-1.0,4.0,-1.0,1.0
1550,2.0,2.0,1.0,2.0,3.0,1.0,3.0,-1.0,-1.0,-1.0,0.0
1554,5.0,3.0,3.0,4.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1555,5.0,2.0,1.0,2.0,1.0,2.0,1.0,-1.0,2.0,4.0,1.0
1556,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1558,1.0,2.0,1.0,2.0,2.0,1.0,4.0,-1.0,2.0,-1.0,1.0
1559,2.0,2.0,1.0,1.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,1.0
1564,1.0,1.0,1.0,1.0,3.0,3.0,3.0,-1.0,2.0,-1.0,1.0
1565,1.0,1.0,1.0,2.0,3.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1568,2.0,1.0,1.0,2.0,4.0,1.0,2.0,-1.0,-1.0,4.0,1.0
1569,3.0,4.0,3.0,2.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1571,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1572,5.0,5.0,4.0,5.0,5.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1575,2.0,3.0,1.0,1.0,4.0,2.0,1.0,-1.0,2.0,-1.0,1.0
1576,4.0,1.0,4.0,2.0,3.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
1577,4.0,3.0,3.0,3.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,0.0
1579,5.0,4.0,4.0,5.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1580,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,3.0,-1.0,1.0
1581,4.0,3.0,2.0,3.0,5.0,2.0,4.0,-1.0,-1.0,-1.0,0.0
1582,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,1.0,-1.0,-1.0,1.0
1583,2.0,2.0,2.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1584,3.0,2.0,2.0,4.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0
1585,3.0,5.0,3.0,4.0,3.0,3.0,-1.0,1.0,-1.0,2.0,1.0
1586,4.0,3.0,3.0,3.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1589,4.0,3.0,1.0,4.0,5.0,3.0,2.0,-1.0,2.0,-1.0,1.0
1590,2.0,3.0,1.0,3.0,5.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1591,2.0,1.0,2.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1593,1.0,3.0,1.0,4.0,5.0,1.0,-1.0,-1.0,1.0,-1.0,0.0
1595,5.0,4.0,5.0,5.0,5.0,5.0,-1.0,2.0,-1.0,1.0,1.0
1596,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,0.0
1599,4.0,3.0,3.0,3.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0
1600,4.0,4.0,4.0,4.0,5.0,4.0,-1.0,2.0,-1.0,4.0,1.0
1604,2.0,2.0,1.0,4.0,4.0,1.0,3.0,-1.0,1.0,-1.0,1.0
1605,4.0,4.0,4.0,5.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1606,4.0,4.0,3.0,5.0,4.0,3.0,-1.0,-1.0,-1.0,4.0,1.0
1611,3.0,2.0,1.0,2.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1612,3.0,3.0,2.0,3.0,3.0,3.0,-1.0,2.0,-1.0,2.0,1.0
1613,2.0,4.0,2.0,2.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1614,5.0,4.0,3.0,4.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
